"datetime","T","Po","P","U","DD","Ff","N","WW"
"2024-01-01 00:00","-1.3","721.8","735.4","95%","Юго-западный ветер","1.0","100%","Снег умеренный"
"2024-01-01 03:00","-2.0","723.2","736.9","93%","Юго-юго-восточный ветер","3.0","100%","Снег сильный"
