eps,min_samples,n_clusters,noise_ratio,silhouette,calinski_harabasz,davies_bouldin
0.4,7,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.35000000000000003,5,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.35000000000000003,6,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.4,5,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.45,6,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.45,8,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.45,7,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.35000000000000003,7,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.4,6,2,0.0,0.7951249219606448,347.7652339418744,0.16598301724626682
0.4,9,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.4,11,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.4,10,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.45,11,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.45,10,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.45,12,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.25,6,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.3,2,2,0.0,0.7935449388761959,374.4487589540389,0.17310324059664858
0.3,4,2,0.0,0.7935449388761959,374.4487589540389,0.17310324059664858
0.35000000000000003,9,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.35000000000000003,10,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.3,3,2,0.0,0.7935449388761959,374.4487589540389,0.17310324059664858
0.35000000000000003,8,2,0.0005110950210826696,0.7935449388761959,374.4487589540389,0.17310324059664858
0.25,7,2,0.0005536862728395587,0.7915169885016555,398.8354903724025,0.1821407315946979
0.4,14,2,0.0005536862728395587,0.7915169885016555,398.8354903724025,0.1821407315946979
0.45,13,2,0.0005536862728395587,0.7915169885016555,398.8354903724025,0.1821407315946979
0.45,14,2,0.0005536862728395587,0.7915169885016555,398.8354903724025,0.1821407315946979
0.4,12,2,0.0005536862728395587,0.7915169885016555,398.8354903724025,0.1821407315946979
0.4,13,2,0.0005536862728395587,0.7915169885016555,398.8354903724025,0.1821407315946979
0.35000000000000003,11,2,0.0005962775245964479,0.7894956025479055,422.3872649678245,0.19022825558580336
0.3,9,2,0.000638868776353337,0.7876677072224012,445.8290876477354,0.19691961594782212
0.3,8,2,0.000638868776353337,0.7876677072224012,445.8290876477354,0.19691961594782212
0.35000000000000003,14,2,0.0006814600281102261,0.7873957189129985,474.3825577596269,0.19738929078542808
0.35000000000000003,12,2,0.0006814600281102261,0.7873957189129985,474.3825577596269,0.19738929078542808
0.35000000000000003,13,2,0.0006814600281102261,0.7873957189129985,474.3825577596269,0.19738929078542808
0.3,10,2,0.0007240512798671153,0.7843013612211848,491.68251891329595,0.20794122693278513
0.25,10,2,0.0007240512798671153,0.7843013612211848,491.68251891329595,0.20794122693278513
0.25,8,2,0.0007240512798671153,0.7843013612211848,491.68251891329595,0.20794122693278513
0.25,9,2,0.0007240512798671153,0.7843013612211848,491.68251891329595,0.20794122693278513
0.2,4,3,0.00021295625878444568,0.7832653800134564,187.5612598038705,0.3844137496163906
0.3,7,3,0.00021295625878444568,0.7832653800134564,187.5612598038705,0.3844137496163906
0.25,5,3,0.00021295625878444568,0.7832653800134564,187.5612598038705,0.3844137496163906
0.25,4,3,0.0,0.7832653800134564,187.5612598038705,0.3844137496163906
0.25,3,3,0.0,0.7832653800134564,187.5612598038705,0.38441374961639047
0.25,2,3,0.0,0.7832653800134564,187.5612598038705,0.38441374961639047
0.3,12,2,0.0008092337833808936,0.7830870704767335,544.121357141451,0.2103033505111389
0.3,13,2,0.0008092337833808936,0.7830870704767335,544.121357141451,0.2103033505111389
0.3,11,2,0.0008092337833808936,0.7830870704767335,544.121357141451,0.2103033505111389
0.2,6,2,0.0007666425316240045,0.782689958421834,513.8723987952833,0.212893142457032
0.3,14,2,0.0008518250351377827,0.7824886307441759,569.9568893909276,0.21156450121816506
0.25,11,2,0.0008944162868946718,0.7818219029486729,595.3023683255526,0.21237966614205114
0.3,6,3,0.00017036500702755653,0.7815086347498561,187.5288453618054,0.38331793665991265
0.45,9,3,0.0001277737552706674,0.7791491694046729,187.49248391343755,0.3764027755736718
0.3,5,3,8.518250351377826e-05,0.776891214195819,187.41123165334668,0.40912058499981835
0.2,2,4,4.259125175688913e-05,0.7731750513469353,125.05445009901827,0.36327364058994294
0.2,3,4,4.259125175688913e-05,0.7731750513469353,125.05445009901827,0.36327364058994294
0.4,8,3,4.259125175688913e-05,0.7730728381604246,187.34031990776617,0.31969948407295073
0.2,14,2,0.002512883853656459,0.7575812186886681,1386.3106209501818,0.24870922877235638
0.2,5,4,0.00029813876229822393,0.75606357700382,172.22869063862382,0.9211614148751714
0.15000000000000002,13,2,0.0026832488606840154,0.7552333939106745,1453.8636367469805,0.2544588202816107
0.15000000000000002,14,2,0.0026832488606840154,0.7552333939106745,1453.8636367469805,0.2544588202816107
0.2,7,3,0.0008092337833808936,0.753935650783408,537.2856286677155,0.7341355233039991
0.2,9,3,0.0011073725456791175,0.7502441014999143,566.7117596352398,0.8719068753846978
0.2,8,3,0.0009795987904084502,0.7501766679095512,537.2624322168118,0.6780018685580075
0.2,12,3,0.0017462413220324545,0.748798292933161,685.2689744672266,2.108467311715378
0.15000000000000002,2,9,0.0001277737552706674,0.7485842558528742,134.81206983476667,1.4594184308846525
0.15000000000000002,6,3,0.001277737552706674,0.7483931200363031,587.5675641163745,0.8902721930803482
0.15000000000000002,4,6,0.00038332126581200224,0.7483575270104058,215.52152781817958,0.9372359042003398
0.15000000000000002,3,6,0.00038332126581200224,0.7483575270104058,215.52152781817958,0.9372359042003398
0.2,10,3,0.0011925550491928957,0.7483149250240684,566.7189738325699,0.8063869929335886
0.15000000000000002,5,4,0.0008518250351377827,0.7482351878235873,365.8001705834604,0.9362193734203229
0.25,12,3,0.0009795987904084502,0.7474566481373252,525.8644959398017,0.5743991635807444
